Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.0	0.6220858	0.055410724	0.729647	160000
2	0.0	1.0801731	0.04786843	0.82511497	320000
3	0.0	1.5082531	0.0482852	0.9803365	480000
4	0.0062500000931322575	1.9180858	0.048420694	1.0999107	640000
5	0.0	2.3223023	0.047025513	1.1285763	800000
6	0.0	2.7268286	0.055939563	0.9970452	960000
7	0.0	3.0867841	0.053575337	0.9635874	1120000
8	0.0062500000931322575	3.4520888	0.05472778	1.0401528	1280000
9	0.0062500000931322575	3.80184	0.057469748	1.0706352	1440000
10	0.0	4.1074786	0.06284692	1.1020827	1600000
11	0.0	4.4618425	0.065694645	1.1284622	1760000
12	0.0	4.739757	0.06587004	1.1347414	1920000
13	0.0	5.024571	0.06968636	1.1640557	2080000
14	0.0062500000931322575	5.288455	0.07205759	1.2609572	2240000
15	0.0	5.5313287	0.075593315	1.3449317	2400000
16	0.0	5.7464447	0.08370232	1.3626031	2560000
17	0.0	6.0242014	0.090072446	1.366644	2720000
18	0.0062500000931322575	6.1852	0.09760596	1.401604	2880000
19	0.0	6.4530935	0.09942739	1.4094505	3040000
20	0.0	6.616435	0.10511873	1.3734157	3200000
21	0.0	6.825691	0.11179253	1.435377	3360000
22	0.0	6.986484	0.11314085	1.4725933	3520000
23	0.0	7.153504	0.12297171	1.5183026	3680000
24	0.012500000186264515	7.3208995	0.13032308	1.537965	3840000
25	0.0	7.489018	0.14134246	1.5787276	4000000
26	0.0	7.6754694	0.16331823	1.6092327	4160000
27	0.0	7.8042936	0.17193368	1.6384676	4320000
28	0.0	7.95765	0.17697738	1.6511568	4480000
29	0.0	8.039791	0.1930809	1.6716331	4640000
30	0.01875000074505806	8.211087	0.20327985	1.6902578	4800000
31	0.0062500000931322575	8.350051	0.22571136	1.7167745	4960000
32	0.0062500000931322575	8.457473	0.23756051	1.7364837	5120000
33	0.02500000037252903	8.605736	0.2592863	1.7736728	5280000
34	0.01875000074505806	8.730707	0.27150562	1.8054148	5440000
35	0.0	8.895496	0.28163227	1.8386278	5600000
36	0.0062500000931322575	8.9884615	0.3208836	1.9020339	5760000
37	0.0062500000931322575	9.108385	0.3498933	1.9115934	5920000
38	0.0062500000931322575	9.178309	0.37044194	1.9457333	6080000
39	0.0	9.323738	0.40062317	1.9886087	6240000
40	0.0	9.440338	0.42272246	2.020976	6400000
41	0.0062500000931322575	9.474123	0.44167316	2.0296826	6560000
42	0.0	9.57694	0.45812672	2.030218	6720000
43	0.0062500000931322575	9.680662	0.4842589	2.1332858	6880000
44	0.012500000186264515	9.727158	0.49783424	2.1031885	7040000
45	0.02500000037252903	9.845131	0.52603257	2.0912993	7200000
46	0.0062500000931322575	9.950471	0.55651975	2.181952	7360000
47	0.01875000074505806	10.053808	0.5706692	2.1464171	7520000
48	0.0	10.067531	0.59821326	2.1771445	7680000
49	0.012500000186264515	10.12495	0.6089395	2.1996899	7840000
50	0.01875000074505806	10.177633	0.6461191	2.1724887	8000000
51	0.0	10.248276	0.6587366	2.232694	8160000
52	0.04375000298023224	10.357273	0.71040106	2.2378845	8320000
53	0.04374999925494194	10.4423485	0.74049526	2.1997259	8480000
54	0.02500000037252903	10.475509	0.7503689	2.220849	8640000
55	0.05000000074505806	10.573461	0.78832287	2.250667	8800000
56	0.03125	10.69009	0.8084701	2.2621088	8960000
57	0.05000000074505806	10.687133	0.8242884	2.2653487	9120000
58	0.04375000298023224	10.771437	0.84616053	2.2523775	9280000
59	0.0625	10.804268	0.86325777	2.3399823	9440000
60	0.09375	10.874588	0.8920917	2.3446832	9600000
61	0.05000000074505806	10.968471	0.9297136	2.2961698	9760000
62	0.06875000894069672	11.016808	0.9375492	2.3367152	9920000
63	0.05000000074505806	11.09624	0.9754932	2.335383	10080000
64	0.08750000596046448	11.10722	0.9854526	2.3764472	10240000
65	0.05624999850988388	11.187816	1.0269946	2.3280392	10400000
66	0.07500000298023224	11.260658	1.0411782	2.3739936	10560000
67	0.125	11.286873	1.0724678	2.3778384	10720000
68	0.08124999701976776	11.34277	1.0925448	2.4298358	10880000
69	0.16875000298023224	11.402989	1.1116617	2.3738427	11040000
70	0.125	11.429407	1.1566279	2.452992	11200000
71	0.125	11.42724	1.1686754	2.4393368	11360000
72	0.09375	11.518341	1.1889907	2.4632006	11520000
73	0.10625000298023224	11.565601	1.2078196	2.49607	11680000
74	0.10000000149011612	11.631131	1.2268739	2.4727337	11840000
75	0.14374999701976776	11.652876	1.2557219	2.472413	12000000
76	0.11250000447034836	11.702516	1.2741101	2.5005913	12160000
77	0.13750000298023224	11.772748	1.3022258	2.4733748	12320000
78	0.13124999403953552	11.809049	1.3216155	2.5082095	12480000
79	0.11249999701976776	11.845904	1.3561599	2.5010505	12640000
80	0.08750000596046448	11.847368	1.3532968	2.5274808	12800000
81	0.13749998807907104	11.833625	1.3969414	2.5735385	12960000
82	0.20000000298023224	11.91019	1.4218799	2.548512	13120000
83	0.15625	11.908715	1.4174683	2.5398126	13280000
84	0.19375000894069672	11.913539	1.4770726	2.493645	13440000
85	0.1875	11.9202385	1.4626566	2.5260704	13600000
86	0.20000000298023224	11.947827	1.5037329	2.5298367	13760000
87	0.21250000596046448	11.977326	1.5106062	2.5501847	13920000
88	0.24375000596046448	12.003162	1.5148158	2.5474172	14080000
89	0.1875	12.051109	1.5512862	2.5667262	14240000
90	0.21250000596046448	12.060918	1.5501894	2.56031	14400000
91	0.21875	12.093837	1.5781884	2.5562904	14560000
92	0.21250000596046448	12.08438	1.6123235	2.6080885	14720000
93	0.3125	12.122158	1.6103711	2.612752	14880000
94	0.27500003576278687	12.167871	1.6357272	2.5905752	15040000
95	0.29375001788139343	12.178041	1.6738666	2.6130788	15200000
96	0.3499999940395355	12.178787	1.6985097	2.6191697	15360000
97	0.24375000596046448	12.163974	1.6977483	2.6112125	15520000
98	0.2750000059604645	12.171053	1.718934	2.5688066	15680000
99	0.29374998807907104	12.22543	1.7083154	2.5991454	15840000
100	0.29375001788139343	12.242445	1.7674242	2.6363716	16000000
101	0.28125	12.267457	1.781721	2.6512578	16160000
102	0.23749999701976776	12.329606	1.7844611	2.6260948	16320000
103	0.2875000238418579	12.314358	1.832411	2.6483076	16480000
