Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.0	0.47532153	0.005204037	0.4274945	160000
2	0.0	0.88128847	0.00400491	0.48130378	320000
3	0.0	1.2843076	0.013849622	0.5822911	480000
4	0.0062500000931322575	1.6693356	0.010055794	0.53857535	640000
5	0.0	2.039385	0.009320435	0.515599	800000
6	0.0	2.4164634	0.011967108	0.5276409	960000
7	0.0	2.7842782	0.019535491	0.5708943	1120000
8	0.0	3.1530282	0.023338193	0.5891504	1280000
9	0.0	3.48346	0.025334315	0.5703455	1440000
10	0.0	3.78371	0.028352184	0.5912977	1600000
11	0.0	4.1217303	0.029563135	0.6000237	1760000
12	0.0	4.3873477	0.027288936	0.5930934	1920000
13	0.0	4.6573963	0.028472465	0.5905554	2080000
14	0.0	4.8979483	0.029605025	0.5971239	2240000
15	0.0062500000931322575	5.1516404	0.030280553	0.61059135	2400000
16	0.0	5.400077	0.032989893	0.61146325	2560000
17	0.0	5.6102343	0.036091942	0.6556228	2720000
18	0.0	5.794625	0.03608288	0.63144493	2880000
19	0.0	6.0067225	0.03680897	0.62318677	3040000
20	0.0	6.218334	0.037385546	0.64886564	3200000
21	0.0	6.377062	0.03740126	0.6623017	3360000
22	0.0	6.5503798	0.038964067	0.63387495	3520000
23	0.0	6.7051425	0.03720973	0.65436155	3680000
24	0.0062500000931322575	6.8737316	0.039426237	0.6639815	3840000
25	0.0	7.013284	0.041434653	0.69935095	4000000
26	0.0	7.170046	0.04390481	0.65490836	4160000
27	0.0062500000931322575	7.305504	0.044491507	0.71552885	4320000
28	0.0	7.4754715	0.04756491	0.666041	4480000
29	0.0062500000931322575	7.576534	0.047274902	0.69558436	4640000
30	0.0	7.7094	0.04828436	0.69083697	4800000
31	0.0	7.817271	0.046044767	0.66653484	4960000
32	0.0062500000931322575	7.9110165	0.047999796	0.6704172	5120000
33	0.0	8.045497	0.050532497	0.7022443	5280000
34	0.0	8.139359	0.0521064	0.7594751	5440000
35	0.0	8.203214	0.050775353	0.8054882	5600000
36	0.0	8.376701	0.054262903	0.8066056	5760000
37	0.0062500000931322575	8.475912	0.05672899	0.8002198	5920000
38	0.0062500000931322575	8.507691	0.055507027	0.8275919	6080000
39	0.0062500000931322575	8.641488	0.058690544	0.82662797	6240000
40	0.0062500000931322575	8.715514	0.06501378	0.8600609	6400000
