Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.0	0.7678389	0.09117323	0.89720935	160000
2	0.0	1.2373061	0.054145142	1.0744547	320000
3	0.0	1.7353097	0.0511989	1.2972444	480000
4	0.0	2.211451	0.04934137	1.4575803	640000
5	0.0	2.6288257	0.04912196	1.484279	800000
6	0.0	3.0100923	0.04972892	1.5858024	960000
7	0.0	3.395856	0.059765656	1.448084	1120000
8	0.0	3.7631152	0.063246235	1.4317019	1280000
9	0.0	4.1073103	0.06536676	1.473542	1440000
10	0.0	4.446139	0.072038606	1.4730173	1600000
11	0.0	4.841518	0.07512579	1.5487431	1760000
12	0.0	5.1244507	0.078212924	1.5983297	1920000
13	0.0	5.3947268	0.07969777	1.6213549	2080000
14	0.0	5.691824	0.08651614	1.6910403	2240000
15	0.0	5.973288	0.09485585	1.7650496	2400000
16	0.0	6.2503614	0.10870232	1.7982951	2560000
17	0.0	6.500985	0.120085664	1.8177258	2720000
18	0.0	6.705436	0.13423406	1.8869467	2880000
19	0.0062500000931322575	6.9466004	0.14392544	1.9100575	3040000
20	0.0	7.2058525	0.15534341	1.9230832	3200000
21	0.0	7.399401	0.17263487	1.9942385	3360000
22	0.0062500000931322575	7.5794024	0.18795922	2.023663	3520000
23	0.0062500000931322575	7.780862	0.21262127	2.0473495	3680000
24	0.0062500000931322575	7.996841	0.23204175	2.082014	3840000
25	0.0	8.1817875	0.25396326	2.146431	4000000
26	0.0	8.376874	0.27450687	2.143492	4160000
27	0.0062500000931322575	8.524233	0.29768807	2.2183692	4320000
28	0.012500000186264515	8.713407	0.32139385	2.2305288	4480000
29	0.01875000074505806	8.841774	0.3448502	2.2479765	4640000
30	0.012500000186264515	9.030578	0.36925378	2.2995605	4800000
31	0.02500000037252903	9.151189	0.40234086	2.35627	4960000
32	0.03750000149011612	9.306549	0.43351233	2.3505883	5120000
33	0.02500000037252903	9.465277	0.45199332	2.364708	5280000
34	0.0	9.576425	0.4693368	2.3995082	5440000
35	0.02500000037252903	9.635768	0.50433344	2.4882138	5600000
36	0.03125	9.837125	0.51706946	2.4932058	5760000
37	0.05000000074505806	9.931443	0.5413383	2.5132737	5920000
38	0.05624999850988388	10.036666	0.57627964	2.4930863	6080000
39	0.01875000074505806	10.170902	0.6016777	2.5240912	6240000
40	0.02500000037252903	10.270074	0.6450132	2.5468726	6400000
41	0.01875000074505806	10.30121	0.6624919	2.616853	6560000
42	0.06875000149011612	10.38567	0.6848164	2.543148	6720000
43	0.06875000149011612	10.5297985	0.7228289	2.6051998	6880000
44	0.10000000149011612	10.669905	0.7588633	2.6000845	7040000
45	0.0625	10.776679	0.77879035	2.6530068	7200000
46	0.16875000298023224	10.807524	0.811895	2.625634	7360000
47	0.11874999850988388	10.933116	0.8213804	2.6943202	7520000
48	0.125	11.016963	0.8628756	2.6773868	7680000
49	0.16249999403953552	11.071761	0.88547814	2.7407017	7840000
50	0.15625	11.127771	0.93213344	2.780937	8000000
51	0.23750001192092896	11.169367	0.9585607	2.755655	8160000
52	0.20000000298023224	11.173651	0.9628332	2.749292	8320000
53	0.21875	11.194934	1.001541	2.7685444	8480000
54	0.26250001788139343	11.248914	1.0292827	2.813307	8640000
55	0.2875000238418579	11.235478	1.0701213	2.8087876	8800000
56	0.3500000238418579	11.263541	1.0760161	2.8073301	8960000
57	0.32499998807907104	11.323643	1.1033831	2.838414	9120000
58	0.26249998807907104	11.393235	1.1315441	2.8415248	9280000
59	0.35625001788139343	11.373956	1.1479272	2.8586988	9440000
60	0.48750001192092896	11.413954	1.1575392	2.880325	9600000
61	0.39375001192092896	11.397321	1.183298	2.8903935	9760000
62	0.39375001192092896	11.385342	1.2259793	2.8859317	9920000
63	0.5	11.401854	1.2480236	2.90169	10080000
64	0.4375	11.422801	1.217603	2.9264095	10240000
65	0.574999988079071	11.392112	1.2543099	2.9118876	10400000
66	0.5499999523162842	11.447484	1.2719103	2.905177	10560000
67	0.5375000238418579	11.379859	1.2852371	2.9317873	10720000
68	0.48750001192092896	11.338845	1.3150779	2.941461	10880000
69	0.6000000238418579	11.312535	1.3212569	2.941597	11040000
70	0.4375	11.241241	1.2968581	2.9524238	11200000
71	0.42500001192092896	11.218066	1.3173234	2.976433	11360000
72	0.5687500238418579	11.196322	1.333855	2.9781897	11520000
73	0.6625000238418579	11.120383	1.3389126	2.9929597	11680000
74	0.59375	11.117089	1.3351485	2.982823	11840000
75	0.637499988079071	11.067511	1.368793	2.996207	12000000
76	0.6937500238418579	10.99363	1.3333576	3.016787	12160000
77	0.6499999761581421	10.922303	1.3488882	3.0220919	12320000
78	0.6937500238418579	10.951131	1.3559034	3.0083292	12480000
