Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
92	0.4375	14.215492	2.1465156	5.41477	14720000
93	0.45625001192092896	14.152094	2.1746407	5.4176593	14880000
94	0.518750011920929	14.154311	2.147329	5.423163	15040000
95	0.53125	14.123006	2.1594179	5.4233174	15200000
96	0.4937500059604645	14.100145	2.1549566	5.4228806	15360000
97	0.40625	14.078501	2.147035	5.4300995	15520000
98	0.5562500357627869	14.034775	2.1482825	5.432718	15680000
99	0.612500011920929	14.047079	2.1437907	5.436253	15840000
100	0.5687500238418579	13.980929	2.1514597	5.4396815	16000000
101	0.48750001192092896	13.947698	2.1488154	5.4470735	16160000
102	0.5125000476837158	13.907908	2.1558003	5.4474807	16320000
103	0.5562499761581421	13.875403	2.1639473	5.443774	16480000
104	0.612500011920929	13.825712	2.1537135	5.450028	16640000
105	0.625	13.835623	2.144585	5.456637	16800000
106	0.6000000238418579	13.742131	2.1082325	5.453489	16960000
107	0.6499999761581421	13.712775	2.1242232	5.4532366	17120000
108	0.6187500357627869	13.686086	2.1255796	5.459425	17280000
109	0.6062500476837158	13.667146	2.0945024	5.4579406	17440000
110	0.6000000238418579	13.623789	2.1061568	5.4578314	17600000
111	0.6312500238418579	13.586882	2.1094184	5.4571676	17760000
112	0.6499999761581421	13.529904	2.112512	5.4657955	17920000
113	0.7250000238418579	13.466046	2.1080751	5.4588485	18080000
114	0.6812499761581421	13.41952	2.0953019	5.4694796	18240000
115	0.6437499523162842	13.35778	2.0858924	5.4678116	18400000
116	0.71875	13.291419	2.0677438	5.474042	18560000
117	0.7125000357627869	13.185045	2.0737538	5.469451	18720000
118	0.668749988079071	13.091558	2.051721	5.4758635	18880000
119	0.6625000238418579	13.059442	2.0584478	5.4762897	19040000
120	0.737500011920929	12.950088	2.060478	5.4744062	19200000
121	0.6812499761581421	12.889543	2.0535874	5.4774537	19360000
122	0.6875	12.778975	2.0441437	5.4836287	19520000
123	0.699999988079071	12.646554	2.028261	5.479676	19680000
124	0.7250000238418579	12.56399	2.0407133	5.4824686	19840000
125	0.800000011920929	12.490696	2.0318985	5.480625	20000000
126	0.7250000238418579	12.39283	2.0029848	5.485605	20160000
127	0.6937500238418579	12.263478	1.9943666	5.483426	20320000
128	0.71875	12.183066	2.0095105	5.483838	20480000
129	0.71875	12.160772	1.9891711	5.48263	20640000
130	0.731249988079071	12.08719	1.9887017	5.4818115	20800000
131	0.8125	11.990719	1.9911809	5.485826	20960000
132	0.8062499761581421	11.953077	1.9719876	5.4911942	21120000
133	0.7562500238418579	11.87986	1.9644651	5.4831877	21280000
134	0.8062499761581421	11.751965	1.9615777	5.4823036	21440000
135	0.7687499523162842	11.670401	1.93818	5.480778	21600000
136	0.7437500357627869	11.632975	1.9295063	5.4816494	21760000
137	0.7625000476837158	11.526361	1.9063567	5.479772	21920000
138	0.75	11.400715	1.9122126	5.474821	22080000
139	0.8500000238418579	11.307383	1.9138381	5.4824085	22240000
140	0.75	11.224137	1.9124112	5.486163	22400000
141	0.7875000238418579	11.157256	1.8806227	5.481677	22560000
142	0.800000011920929	11.129814	1.8823401	5.48342	22720000
143	0.8562499284744263	11.025882	1.8765527	5.4780536	22880000
144	0.8687499761581421	10.946578	1.861957	5.478714	23040000
145	0.8499999642372131	10.897103	1.8314949	5.480373	23200000
146	0.8187500238418579	10.814836	1.8621019	5.4820533	23360000
147	0.8812500238418579	10.729584	1.8563691	5.4804006	23520000
148	0.8374999761581421	10.62825	1.7977225	5.481743	23680000
149	0.856249988079071	10.5385685	1.8312845	5.4853687	23840000
150	0.8187500238418579	10.47439	1.7888294	5.4751797	24000000
151	0.887499988079071	10.43074	1.8079145	5.480327	24160000
152	0.8500000238418579	10.350959	1.7663461	5.478202	24320000
153	0.8062499761581421	10.324156	1.7727757	5.4795723	24480000
154	0.8687499761581421	10.282517	1.7684846	5.476878	24640000
155	0.8374999761581421	10.186631	1.7399702	5.480871	24800000
156	0.824999988079071	10.116172	1.7475072	5.4853983	24960000
157	0.8687499761581421	10.051828	1.7326907	5.4859867	25120000
158	0.862500011920929	9.912943	1.7278786	5.4746623	25280000
159	0.8187500238418579	9.89434	1.7064222	5.4742417	25440000
160	0.8624999523162842	9.867801	1.7264436	5.477622	25600000
161	0.8937499523162842	9.762697	1.6972674	5.473567	25760000
162	0.8125	9.654779	1.7008728	5.476625	25920000
163	0.8187500238418579	9.568937	1.6922004	5.4692316	26080000
164	0.8937499523162842	9.453309	1.6660517	5.4612722	26240000
165	0.8562500476837158	9.43827	1.6819003	5.4626403	26400000
166	0.8999999761581421	9.352865	1.6698313	5.467572	26560000
167	0.8687500357627869	9.264698	1.6419419	5.471529	26720000
168	0.8812500238418579	9.193597	1.6340507	5.468739	26880000
169	0.875	9.0723715	1.6380466	5.4588876	27040000
170	0.862500011920929	9.035682	1.6305817	5.4645963	27200000
171	0.8999999761581421	8.960463	1.5858084	5.4647717	27360000
172	0.918749988079071	8.874316	1.5879874	5.4618254	27520000
173	0.893750011920929	8.81919	1.5552503	5.462683	27680000
174	0.875	8.755176	1.5527798	5.463434	27840000
175	0.8812500238418579	8.70035	1.5427772	5.462049	28000000
176	0.918749988079071	8.66558	1.5273695	5.4545813	28160000
177	0.887499988079071	8.591698	1.5116998	5.4495068	28320000
178	0.9125000238418579	8.567621	1.5126384	5.4494247	28480000
179	0.9312499761581421	8.471338	1.4978904	5.44515	28640000
180	0.875	8.418606	1.4988812	5.452059	28800000
181	0.8812500238418579	8.4037285	1.4751587	5.4476757	28960000
182	0.887499988079071	8.329185	1.4742004	5.440361	29120000
183	0.918749988079071	8.275033	1.4608946	5.442801	29280000
184	0.8999999761581421	8.192942	1.4394487	5.44447	29440000
185	0.9187499284744263	8.161308	1.4238262	5.4449778	29600000
186	0.887499988079071	8.108242	1.4220616	5.43837	29760000
187	0.949999988079071	8.034554	1.419882	5.4424486	29920000
188	0.862500011920929	7.965747	1.4107428	5.44446	30080000
189	0.9624999761581421	7.8824043	1.4031395	5.439085	30240000
190	0.90625	7.8318186	1.377812	5.443735	30400000
191	0.9249999523162842	7.805502	1.3951101	5.445917	30560000
192	0.8874999284744263	7.738705	1.3729464	5.441455	30720000
193	0.9312499761581421	7.6886377	1.3865315	5.441781	30880000
194	0.9437500238418579	7.601931	1.3975537	5.4330683	31040000
195	0.9312499761581421	7.538597	1.3487817	5.4286876	31200000
196	0.9125000238418579	7.485739	1.3646827	5.4205265	31360000
197	0.90625	7.476879	1.3286489	5.4243693	31520000
198	0.9437500238418579	7.42695	1.3175792	5.424398	31680000
199	0.9312499761581421	7.3999696	1.3215789	5.4290066	31840000
200	0.96875	7.3638253	1.3123417	5.423846	32000000
201	0.918749988079071	7.329547	1.3081799	5.4112415	32160000
202	0.949999988079071	7.2804165	1.2897586	5.4110737	32320000
203	0.9375	7.1969304	1.285023	5.410816	32480000
204	0.918749988079071	7.168801	1.2661498	5.4082417	32640000
205	0.9249999523162842	7.1084213	1.2697976	5.4093046	32800000
206	0.9125000238418579	7.0761037	1.2544321	5.408662	32960000
207	0.9437500238418579	7.0369506	1.2405858	5.402507	33120000
208	0.90625	7.0235705	1.2357206	5.405363	33280000
209	0.9500000476837158	6.95362	1.2377256	5.406262	33440000
210	0.949999988079071	6.898122	1.2230434	5.3978777	33600000
211	0.8937499523162842	6.885571	1.2179756	5.3928194	33760000
212	0.918749988079071	6.864322	1.190819	5.3872166	33920000
213	0.9375	6.830163	1.1970166	5.386502	34080000
214	0.925000011920929	6.728173	1.182146	5.372346	34240000
215	0.949999988079071	6.670304	1.178007	5.3687	34400000
216	0.9937499761581421	6.6073623	1.1671143	5.371939	34560000
217	0.96875	6.576961	1.1675998	5.3747826	34720000
218	0.9624999761581421	6.5594797	1.1620282	5.3762403	34880000
219	0.9312499761581421	6.506072	1.1297251	5.371826	35040000
220	0.9437499642372131	6.4694405	1.1356574	5.366341	35200000
