Epoch	SuccessRate	AverageLossPi	AverageLossQ	TotalEnvInteracts
110	0.19374999403953552	8.782717	0.6490148	17600000
111	0.18125000596046448	8.749564	0.66979504	17760000
112	0.14375001192092896	8.831686	0.6685264	17920000
113	0.22500000894069672	8.793714	0.6608475	18080000
114	0.17499999701976776	8.815668	0.6717734	18240000
115	0.14375001192092896	8.859677	0.6718743	18400000
116	0.20624999701976776	8.8368635	0.67617553	18560000
117	0.14375001192092896	8.82157	0.6386043	18720000
118	0.16875000298023224	8.840746	0.6832119	18880000
119	0.22500000894069672	8.748344	0.6691008	19040000
120	0.20000000298023224	8.655191	0.6666232	19200000
121	0.19374999403953552	8.598879	0.6349048	19360000
122	0.20625001192092896	8.543994	0.5859403	19520000
123	0.19374999403953552	8.607241	0.576348	19680000
124	0.24375000596046448	8.63091	0.5743568	19840000
125	0.26249998807907104	8.621289	0.5706565	20000000
126	0.17500001192092896	8.6194725	0.5684742	20160000
127	0.30000001192092896	8.656058	0.5690302	20320000
128	0.22500000894069672	8.69175	0.5725272	20480000
129	0.1875	8.741765	0.5806798	20640000
130	0.24375000596046448	8.731906	0.57324135	20800000
131	0.23750001192092896	8.7563305	0.5835813	20960000
132	0.2562499940395355	8.790777	0.585827	21120000
133	0.18125000596046448	8.815763	0.5911284	21280000
134	0.19374999403953552	8.84917	0.6050471	21440000
135	0.18125000596046448	8.820994	0.6108648	21600000
136	0.22500000894069672	8.828973	0.60484046	21760000
137	0.26875001192092896	8.873345	0.62661934	21920000
138	0.25	8.881931	0.618634	22080000
139	0.24375000596046448	8.882563	0.6270012	22240000
140	0.15000000596046448	8.934191	0.6245055	22400000
141	0.25	8.919681	0.6209983	22560000
142	0.24375000596046448	8.937782	0.6363267	22720000
143	0.23750001192092896	8.905588	0.62943476	22880000
144	0.21250000596046448	8.897095	0.6364231	23040000
145	0.26875001192092896	8.849865	0.6273374	23200000
146	0.23749999701976776	8.854563	0.6145286	23360000
147	0.20624999701976776	8.855517	0.6136006	23520000
148	0.23749999701976776	8.877292	0.6138447	23680000
149	0.26250001788139343	8.86215	0.61742467	23840000
150	0.20000001788139343	8.893293	0.6153138	24000000
151	0.25	8.900381	0.6274025	24160000
152	0.16875000298023224	8.886906	0.6152429	24320000
153	0.16249999403953552	8.92224	0.6339701	24480000
154	0.20000000298023224	8.941949	0.63789004	24640000
155	0.2562499940395355	8.968335	0.6499701	24800000
156	0.20000001788139343	8.956463	0.634369	24960000
157	0.30000001192092896	8.946604	0.6574391	25120000
158	0.23125000298023224	8.9937105	0.65348566	25280000
159	0.23125000298023224	8.998267	0.65203834	25440000
160	0.26249998807907104	9.042269	0.6586807	25600000
161	0.24374999105930328	9.021949	0.6498913	25760000
162	0.23125000298023224	9.030705	0.68259364	25920000
163	0.2875000238418579	9.023314	0.6757843	26080000
164	0.18125000596046448	9.0769005	0.67336375	26240000
165	0.26250001788139343	9.067936	0.6723175	26400000
166	0.33125001192092896	9.086582	0.6695682	26560000
167	0.26249998807907104	9.122387	0.70823526	26720000
168	0.1875	9.092123	0.683819	26880000
169	0.3187499940395355	9.07026	0.68195087	27040000
170	0.24375000596046448	9.05627	0.6866042	27200000
171	0.15000000596046448	9.089255	0.68554455	27360000
172	0.26875001192092896	9.065521	0.6848998	27520000
173	0.30625003576278687	9.04487	0.68231064	27680000
174	0.26875001192092896	9.0310335	0.6748098	27840000
175	0.3125	9.0497675	0.68273914	28000000
176	0.3125	9.085527	0.67813176	28160000
177	0.26875001192092896	9.069501	0.67780125	28320000
178	0.3125	9.024205	0.66697145	28480000
179	0.3062500059604645	9.046273	0.66307575	28640000
180	0.3499999940395355	9.090313	0.6836691	28800000
181	0.25	9.12743	0.68002796	28960000
182	0.32500001788139343	9.117311	0.70246863	29120000
183	0.24375000596046448	9.112867	0.6766804	29280000
184	0.2562500238418579	9.139557	0.6777478	29440000
185	0.34375	9.1572695	0.700831	29600000
186	0.3375000059604645	9.188229	0.6755533	29760000
187	0.3062500059604645	9.195892	0.67127687	29920000
