Epoch	SuccessRate	AverageLossPi	AverageLossQ	AverageMMDEntropy	TotalEnvInteracts
1	0.0	0.46965927	0.0068533137	0.5062728	160000
2	0.0	0.86733174	0.008539097	0.6501482	320000
3	0.0	1.2992386	0.011484572	0.7461689	480000
4	0.0062500000931322575	1.721217	0.016003523	1.287788	640000
5	0.0062500000931322575	2.2575781	0.021943862	1.9820949	800000
6	0.02500000037252903	2.7610152	0.028216325	2.0264099	960000
7	0.03125	3.1413627	0.03491384	1.9218391	1120000
8	0.03125	3.4975429	0.04363373	1.8332378	1280000
9	0.0062500000931322575	3.8243744	0.052552175	1.8277844	1440000
10	0.05625000223517418	4.1012883	0.061498582	1.903425	1600000
11	0.05000000074505806	4.406702	0.074796185	2.0083275	1760000
12	0.14375001192092896	4.665333	0.08752052	2.0869298	1920000
13	0.08124999701976776	4.9201293	0.09891224	2.1607587	2080000
14	0.07500000298023224	5.1607695	0.11283654	2.1937318	2240000
15	0.09375	5.361066	0.12471426	2.2414882	2400000
16	0.10625000298023224	5.5853605	0.14262734	2.326343	2560000
17	0.09375	5.777794	0.16207285	2.3459864	2720000
18	0.125	5.937909	0.17439431	2.3652072	2880000
19	0.07500000298023224	6.1132803	0.19151108	2.4564376	3040000
20	0.11874999850988388	6.30125	0.20147952	2.4599276	3200000
21	0.21250000596046448	6.3847604	0.21899065	2.4670396	3360000
22	0.16249999403953552	6.5244293	0.23037463	2.4730356	3520000
23	0.14375001192092896	6.637758	0.25046262	2.495063	3680000
24	0.13750000298023224	6.74691	0.2683325	2.549392	3840000
25	0.10000000894069672	6.859397	0.2785041	2.544166	4000000
26	0.14375001192092896	6.97507	0.29976028	2.5846539	4160000
27	0.16250000894069672	7.0818496	0.32123357	2.6167505	4320000
28	0.16249999403953552	7.168241	0.33706173	2.6446998	4480000
29	0.2562500238418579	7.249033	0.3522149	2.6502466	4640000
30	0.17500001192092896	7.3408976	0.36702803	2.6768477	4800000
31	0.16875000298023224	7.447277	0.37238494	2.6911588	4960000
32	0.20000000298023224	7.516853	0.38234594	2.722872	5120000
33	0.18125000596046448	7.6217823	0.39980578	2.7093005	5280000
34	0.19999998807907104	7.6871943	0.40195966	2.709508	5440000
35	0.21875	7.7367806	0.41834807	2.7315993	5600000
36	0.19374999403953552	7.8285165	0.41627914	2.7565851	5760000
37	0.23125000298023224	7.895295	0.42666847	2.779695	5920000
38	0.22499999403953552	7.939442	0.43885353	2.7431388	6080000
39	0.22499999403953552	8.036418	0.45248768	2.7533398	6240000
40	0.23749999701976776	8.130027	0.4614872	2.7116368	6400000
41	0.28125	8.16976	0.45748544	2.752082	6560000
42	0.2875000238418579	8.21943	0.4773209	2.7567692	6720000
43	0.2562500238418579	8.267565	0.47751197	2.7564592	6880000
44	0.25	8.369629	0.48848775	2.7385054	7040000
45	0.24375000596046448	8.4015255	0.50427455	2.79536	7200000
46	0.3062500059604645	8.382676	0.50835896	2.781775	7360000
47	0.2750000059604645	8.470733	0.5104238	2.7638764	7520000
48	0.2874999940395355	8.506532	0.50693613	2.7513433	7680000
49	0.3125	8.501572	0.50522006	2.7659004	7840000
50	0.26875001192092896	8.539072	0.49611157	2.7518144	8000000
51	0.2562499940395355	8.582828	0.51262355	2.7826998	8160000
52	0.23750001192092896	8.580333	0.5049697	2.7909355	8320000
53	0.28125	8.603357	0.5089215	2.787954	8480000
54	0.30000001192092896	8.642146	0.52324444	2.8055832	8640000
55	0.25	8.649265	0.5111332	2.7908945	8800000
56	0.29374998807907104	8.661764	0.53565794	2.7860816	8960000
57	0.2562499940395355	8.716774	0.53311586	2.7899342	9120000
58	0.2875000238418579	8.738111	0.5383914	2.8180568	9280000
59	0.24375000596046448	8.731141	0.5376141	2.7876396	9440000
60	0.28125	8.7783985	0.5400162	2.7767472	9600000
61	0.39375001192092896	8.803326	0.5506069	2.7748632	9760000
62	0.28125	8.808623	0.5546775	2.798433	9920000
63	0.26249998807907104	8.82395	0.55065495	2.8062758	10080000
64	0.3187499940395355	8.852816	0.5432654	2.7963147	10240000
65	0.23125000298023224	8.897655	0.55844283	2.7908764	10400000
66	0.2875000238418579	8.899774	0.5554655	2.7935941	10560000
67	0.30000001192092896	8.922685	0.5396089	2.768417	10720000
68	0.28125	8.908011	0.56242704	2.7763093	10880000
69	0.28125	8.942332	0.55676824	2.8626602	11040000
70	0.28125	8.913826	0.57345384	2.8107612	11200000
71	0.3062500059604645	8.958098	0.5790926	2.8469174	11360000
72	0.3375000059604645	8.965659	0.5749197	2.8487163	11520000
73	0.29375001788139343	8.971505	0.58699226	2.8202214	11680000
74	0.29374998807907104	8.983654	0.5725064	2.8260195	11840000
75	0.28125	9.012124	0.56638014	2.855048	12000000
76	0.2875000238418579	9.023971	0.5770879	2.8365424	12160000
77	0.3187499940395355	9.027904	0.5660144	2.8241613	12320000
78	0.34375	9.033763	0.5722055	2.8714352	12480000
